source_code,target_code,target_display,target_system,display_zh_tw,is_active
Tim-0001,QD,QD,https://twcore.mohw.gov.tw/ig/twcore/CodeSystem/medication-frequency-nhi-tw,一天一次,true
Tim-0002,BID,BID,https://twcore.mohw.gov.tw/ig/twcore/CodeSystem/medication-frequency-nhi-tw,一天兩次,true
Tim-0003,TID,TID,https://twcore.mohw.gov.tw/ig/twcore/CodeSystem/medication-frequency-nhi-tw,一天三次,true
Tim-0004,QID,QID,https://twcore.mohw.gov.tw/ig/twcore/CodeSystem/medication-frequency-nhi-tw,一天四次,true
Tim-0005,PRN,PRN,https://twcore.mohw.gov.tw/ig/twcore/CodeSystem/medication-frequency-nhi-tw,需要時使用,true
Tim-0006,Q2H,Q2H,https://twcore.mohw.gov.tw/ig/twcore/CodeSystem/medication-frequency-nhi-tw,每2小時一次,true
Tim-0007,Q4H,Q4H,https://twcore.mohw.gov.tw/ig/twcore/CodeSystem/medication-frequency-nhi-tw,每4小時一次,true
Tim-0008,Q6H,Q6H,https://twcore.mohw.gov.tw/ig/twcore/CodeSystem/medication-frequency-nhi-tw,每6小時一次,true
Tim-0009,Q8H,Q8H,https://twcore.mohw.gov.tw/ig/twcore/CodeSystem/medication-frequency-nhi-tw,每8小時一次,true
Tim-0010,HS,HS,https://twcore.mohw.gov.tw/ig/twcore/CodeSystem/medication-frequency-nhi-tw,睡前一次,true
