source_code,target_code,target_display,target_system,display_zh_tw,is_active
VS-0001,85353-1,"Vital signs, weight, height, head circumference, oxygen saturation and BMI panel",http://loinc.org,生命體徵綜合檢驗 (總包),true
VS-0002,8302-2,Body height,http://loinc.org,身高,true
VS-0003,29463-7,Body weight,http://loinc.org,體重,true
VS-0004,39156-5,Body mass index (BMI) [Ratio],http://loinc.org,身體質量指數 (BMI),true
VS-0005,8310-5,Body temperature,http://loinc.org,體溫,true
VS-0006,8867-4,Heart rate,http://loinc.org,心跳/心率,true
VS-0007,9279-1,Respiratory rate,http://loinc.org,呼吸速率,true
VS-0008,85354-9,Blood pressure panel with all children optional,http://loinc.org,血壓 (包含收縮壓與舒張壓),true
VS-0009,8480-6,Systolic blood pressure,http://loinc.org,收縮壓 (高壓),true
VS-0010,8462-4,Diastolic blood pressure,http://loinc.org,舒張壓 (低壓),true
VS-0011,8478-0,Mean arterial pressure,http://loinc.org,平均動脈壓,true
VS-0012,2708-6,Oxygen saturation in Arterial blood,http://loinc.org,動脈血氧飽和度,true
VS-0013,2708-6,Oxygen saturation in Arterial blood,http://loinc.org,脈搏血氧飽和度 (血氧機),true
VS-0014,8287-5,Head circumference Occipital-frontal,http://loinc.org,頭圍,true
VS-0015,8289-1,Head circumference Percentile,http://loinc.org,頭圍百分位數,true
VS-0016,59576-9,Body mass index (BMI) [Percentile] Per age and sex,http://loinc.org,BMI百分位數 (依年齡性別),true
VS-0017,77606-2,Weight-for-length percentile Per age and sex,http://loinc.org,身高體重比百分位數 (依年齡性別),true
Lab-0001,6690-2,Leukocytes [#/volume] in Blood,http://loinc.org,白血球計數 (WBC),true
Lab-0002,789-8,Erythrocytes [#/volume] in Blood,http://loinc.org,紅血球計數 (RBC),true
Lab-0003,718-7,Hemoglobin [Mass/volume] in Blood,http://loinc.org,血紅素 (Hb),true
Lab-0004,4544-3,Hematocrit [Volume Fraction] in Blood,http://loinc.org,血球比容 (Hct),true
Lab-0005,42757-5,Troponin I.cardiac [Mass/volume] in Blood,http://loinc.org,心肌肌鈣蛋白 I,true
Lab-0006,787-2,Mean corpuscular volume (MCV),http://loinc.org,平均紅血球容積 (MCV),true
Lab-0007,1558-6,Fasting glucose [Mass/volume] in Serum or Plasma,http://loinc.org,空腹血糖,true
Lab-0008,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,http://loinc.org,糖化血色素 (HbA1c),true
