source_code,target_code,target_display,target_system,display_zh_tw,is_active
Lab-0001,6690-2,Leukocytes [#/volume] in Blood by Automated count,http://loinc.org,白血球計數 (WBC),true
Lab-0002,789-8,Erythrocytes [#/volume] in Blood by Automated count,http://loinc.org,紅血球計數 (RBC),true
Lab-0003,718-7,Hemoglobin [Mass/volume] in Blood,http://loinc.org,血紅素 (Hb),true
Lab-0004,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,http://loinc.org,血球比容 (Hct),true
Lab-0005,777-3,Platelets [#/volume] in Blood by Automated count,http://loinc.org,血小板計數 (PLT),true
Lab-0006,787-2,MCV [Entitic mean volume] in Red Blood Cells by Automated count,http://loinc.org,平均紅血球容積 (MCV),true
Lab-0007,14771-0,Fasting glucose [Moles/volume] in Serum or Plasma,http://loinc.org,空腹血糖,true
Lab-0008,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,http://loinc.org,糖化血色素 (HbA1c),true
Lab-0009,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,http://loinc.org,總膽固醇 (T-CHO),true
Lab-0010,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,http://loinc.org,三酸甘油酯 (TG),true
Lab-0011,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,http://loinc.org,高密度脂蛋白 (HDL-C),true
Lab-0012,2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma,http://loinc.org,低密度脂蛋白 (LDL-C),true
Lab-0013,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,http://loinc.org,天門冬胺酸轉胺酶 (AST/GOT),true
Lab-0014,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,http://loinc.org,丙胺酸轉胺酶 (ALT/GPT),true
Lab-0015,2160-0,Creatinine [Mass/volume] in Serum or Plasma,http://loinc.org,肌酸酐 (Creatinine),true
Lab-0016,3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,http://loinc.org,尿素氮 (BUN),true
Lab-0017,50044-7,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M among female population",http://loinc.org,腎絲球過濾率 (eGFR),true
Lab-0018,3084-1,Urate [Mass/volume] in Serum or Plasma,http://loinc.org,尿酸,true
Lab-0019,2951-2,Sodium [Moles/volume] in Serum or Plasma,http://loinc.org,鈉離子 (Na),true
Lab-0020,2823-3,Potassium [Moles/volume] in Serum or Plasma,http://loinc.org,鉀離子 (K),true
Lab-0021,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,http://loinc.org,C-反應蛋白 (CRP),true
Lab-0022,5811-5,Specific gravity of Urine by Test strip,http://loinc.org,尿液比重,true
Lab-0023,5804-0,Protein [Mass/volume] in Urine by Test strip,http://loinc.org,尿蛋白,true
Lab-0024,5792-7,Glucose [Mass/volume] in Urine by Test strip,http://loinc.org,尿糖,true
Lab-0025,3016-3,Thyrotropin [Units/volume] in Serum or Plasma,http://loinc.org,甲狀腺刺激素 (TSH),true
Lab-0026,3024-7,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,http://loinc.org,游離甲狀腺素 (Free T4),true
Lab-0027,6301-6,INR in Platelet poor plasma by Coagulation assay,http://loinc.org,國際標準化比率 (INR),true
Lab-0028,5902-2,Prothrombin time (PT),http://loinc.org,凝血酶原時間 (PT),true
Lab-0029,1751-7,Albumin [Mass/volume] in Serum or Plasma,http://loinc.org,白蛋白 (Albumin),true
Lab-0030,1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,http://loinc.org,總膽紅素,true
Lab-0031,1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,http://loinc.org,間接膽紅素,true
Lab-0032,1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,http://loinc.org,直接膽紅素,true
Lab-0033,6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,http://loinc.org,鹼性磷酸酶 (ALP),true
Lab-0034,2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,http://loinc.org,γ-谷氨醯轉移酶 (GGT),true
Lab-0035,751-8,Neutrophils [#/volume] in Blood by Automated count,http://loinc.org,中性球絕對值,true
Lab-0036,731-0,Lymphocytes [#/volume] in Blood by Automated count,http://loinc.org,淋巴球絕對值,true
Lab-0037,785-6,MCH [Entitic mass] by Automated count,http://loinc.org,平均紅血球血紅素 (MCH),true
Lab-0038,786-4,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,http://loinc.org,平均紅血球血紅素濃度 (MCHC),true
Lab-0039,788-0,Erythrocyte [DistWidth] in Blood by Automated count,http://loinc.org,紅血球分布寬度 (RDW),true
Lab-0040,2075-0,Chloride [Moles/volume] in Serum or Plasma,http://loinc.org,氯離子 (Cl),true
Lab-0041,2000-8,Calcium [Moles/volume] in Serum or Plasma,http://loinc.org,鈣離子 (Ca),true
Lab-0042,19123-9,Magnesium [Mass/volume] in Serum or Plasma,http://loinc.org,鎂離子 (Mg),true
Lab-0043,30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,http://loinc.org,高敏感 C-反應蛋白 (hs-CRP),true
