source_code,target_code,target_display,target_system,display_zh_tw,is_active
Proc-0001,80146002,Appendectomy,http://snomed.info/sct,闌尾切除術 (盲腸炎手術),true
Proc-0002,174041007,Laparoscopic cholecystectomy,http://snomed.info/sct,腹腔鏡膽囊切除術,true
Proc-0003,398026006,Inguinal hernia repair,http://snomed.info/sct,腹股溝疝氣修補術,true
Proc-0004,112703006,Cataract extraction,http://snomed.info/sct,白內障摘除術,true
Proc-0005,11466000,Cesarean section,http://snomed.info/sct,剖腹產,true
Proc-0006,18557009,Closure by suture,http://snomed.info/sct,傷口縫合,true
Proc-0007,81723002,Amputation,http://snomed.info/sct,截肢手術,true
Proc-0008,73761001,Colonoscopy,http://snomed.info/sct,大腸鏡檢查,true
Proc-0009,288236009,Esophagogastroduodenoscopy,http://snomed.info/sct,胃鏡檢查,true
Proc-0010,6025007,Laparoscopy,http://snomed.info/sct,腹腔鏡檢查,true
Proc-0011,108273007,Biopsy,http://snomed.info/sct,活體組織切片,true
Proc-0012,168537006,Plain X-ray,http://snomed.info/sct,一般 X 光檢查,true
Proc-0013,77477000,Computerized tomography (CT),http://snomed.info/sct,電腦斷層掃描 (CT),true
Proc-0014,113091000,Magnetic resonance imaging (MRI),http://snomed.info/sct,磁振造影 (MRI),true
Proc-0015,16310003,Ultrasonography,http://snomed.info/sct,超音波掃描,true
Proc-0016,127733003,Electrocardiogram (ECG),http://snomed.info/sct,心電圖檢查,true
Proc-0017,108241001,Hemodialysis,http://snomed.info/sct,血液透析 (洗腎),true
Proc-0018,367336001,Chemotherapy,http://snomed.info/sct,化學治療,true
Proc-0019,429643003,Wound care,http://snomed.info/sct,傷口護理 / 換藥,true
Proc-0020,52765003,Intubation,http://snomed.info/sct,插管,true
Proc-0021,119000,Thoracoscopic partial lobectomy of lung,http://snomed.info/sct,胸腔鏡部分肺葉切除術,true
Proc-0022,176003,Anastomosis of rectum,http://snomed.info/sct,直腸吻合術,true
Proc-0023,456004,Total abdominal colectomy with ileostomy,http://snomed.info/sct,全腹部結腸切除術併迴腸造口術,true
Proc-0024,494004,Excision of lesion of tonsil,http://snomed.info/sct,扁桃腺病灶切除術,true
Proc-0025,543008,Choledochostomy with transduodenal sphincteroplasty,http://snomed.info/sct,膽總管造口術併括約肌成形術,true
Proc-0026,559008,Excision of varicose vein,http://snomed.info/sct,靜脈曲張切除術,true
Proc-0027,618007,Frontal sinusectomy,http://snomed.info/sct,額竇切除術,true
Proc-0028,665001,Partial meniscectomy of temporomandibular joint,http://snomed.info/sct,顳顎關節部分半月板切除術,true
Proc-0029,1299000,Excision of appendiceal stump,http://snomed.info/sct,闌尾殘端切除術,true
Proc-0030,1390003,Laparoscopic sigmoid colectomy,http://snomed.info/sct,腹腔鏡乙狀結腸切除術,true
Proc-0031,1709006,"Breast reconstruction, bilateral",http://snomed.info/sct,雙側乳房重建術,true
Proc-0032,1868005,Removal of foreign body from brain,http://snomed.info/sct,腦部異物移除術,true
Proc-0033,2098004,Open reduction of open mandibular fracture with external fixation,http://snomed.info/sct,下顎骨折開放復位及外固定術,true
Proc-0034,2199005,Excision of lesion of cul-de-sac,http://snomed.info/sct,子宮直腸陷凹病灶切除術,true
Proc-0035,2598006,Open heart surgery,http://snomed.info/sct,開心手術,true
Proc-0036,5892005,Mastoid antrotomy,http://snomed.info/sct,乳突竇切開術,true
Proc-0037,104001,Excision of lesion of patella,http://snomed.info/sct,髕骨病灶切除術,true
Proc-0038,135007,Arthrotomy of wrist joint with exploration and biopsy,http://snomed.info/sct,腕關節切開探查與切片術,true
