source_code,target_code,target_display,target_system,display_zh_tw,is_active
Perf-0001,405279007,Attending physician,http://snomed.info/sct,主治醫師,true
Perf-0002,405277009,Resident physician,http://snomed.info/sct,住院醫師,true
Perf-0003,158965000,Medical practitioner,http://snomed.info/sct,一般醫師,true
Perf-0004,304292004,Surgeon,http://snomed.info/sct,外科醫師,true
Perf-0005,88189002,Anesthesiologist,http://snomed.info/sct,麻醉醫師,true
Perf-0006,309294001,Accident and Emergency doctor,http://snomed.info/sct,急診醫師,true
Perf-0007,22731001,Orthopedic surgeon,http://snomed.info/sct,骨科醫師,true
Perf-0008,45544007,Neurosurgeon,http://snomed.info/sct,神經外科醫師,true
Perf-0009,8724009,Plastic surgeon,http://snomed.info/sct,整形外科醫師,true
Perf-0010,11935004,Obstetrician,http://snomed.info/sct,產科醫師,true
Perf-0011,83685006,Gynecologist,http://snomed.info/sct,婦科醫師,true
Perf-0012,17561000,Cardiologist,http://snomed.info/sct,心臟內科醫師,true
Perf-0013,71838004,Gastroenterologist,http://snomed.info/sct,腸胃科醫師,true
Perf-0014,66862007,Radiologist,http://snomed.info/sct,放射科醫師,true
Perf-0015,21365001,Specialized dentist,http://snomed.info/sct,牙科專科醫師,true
Perf-0016,415506007,Scrub nurse,http://snomed.info/sct,刷手護理師,true
Perf-0017,413854007,Circulating nurse,http://snomed.info/sct,巡迴護理師,true
Perf-0018,372102007,RN First Assist,http://snomed.info/sct,護理師第一助手,true
Perf-0019,405278004,Certified registered nurse anesthetist,http://snomed.info/sct,麻醉護理師,true
Perf-0020,224559004,PACU nurse,http://snomed.info/sct,恢復室護理師,true
Perf-0021,224537001,Accident and Emergency nurse,http://snomed.info/sct,急診護理師,true
Perf-0022,309453006,Midwife,http://snomed.info/sct,助產師,true
Perf-0023,224571005,Nurse practitioner,http://snomed.info/sct,專科護理師,true
Perf-0024,449161006,Physician assistant,http://snomed.info/sct,醫師助理,true
Perf-0025,159016003,Medical radiographer,http://snomed.info/sct,醫事放射師,true
Perf-0026,36682004,Physiotherapist,http://snomed.info/sct,物理治療師,true
Perf-0027,442867008,Respiratory therapist,http://snomed.info/sct,呼吸治療師,true
Perf-0028,80546007,Occupational therapist,http://snomed.info/sct,職能治療師,true
Perf-0029,159026005,Speech and language therapist,http://snomed.info/sct,語言治療師,true
