ig_name,ig_version,resource_type,path,fhir_path,data_type,is_required,transform_kind,mapping_key,reference_target,sort_order,is_active
tw.gov.mohw.twcore,1.0.0,patient,patient.id,Patient.identifier[0].value,string,true,copy,,,10,true
tw.gov.mohw.twcore,1.0.0,patient,patient.id,Patient.identifier[0].use,string,false,constant,official,,11,true
tw.gov.mohw.twcore,1.0.0,patient,patient.id,Patient.identifier[0].type.coding[0].system,string,false,constant,http://terminology.hl7.org/CodeSystem/v2-0203,,12,true
tw.gov.mohw.twcore,1.0.0,patient,patient.id,Patient.identifier[0].type.coding[0].code,string,false,constant,MR,,13,true
tw.gov.mohw.twcore,1.0.0,patient,patient.id,Patient.identifier[0].system,string,false,constant,https://www.tph.mohw.gov.tw,,14,true
tw.gov.mohw.twcore,1.0.0,patient,patient.idNumber,Patient.identifier[1].value,string,true,copy,,,20,true
tw.gov.mohw.twcore,1.0.0,patient,patient.idNumber,Patient.identifier[1].use,string,false,constant,official,,21,true
tw.gov.mohw.twcore,1.0.0,patient,patient.idNumber,Patient.identifier[1].type.coding[0].system,string,false,constant,http://terminology.hl7.org/CodeSystem/v2-0203,,22,true
tw.gov.mohw.twcore,1.0.0,patient,patient.idNumber,Patient.identifier[1].type.coding[0].code,string,false,constant,NNxxx,,23,true
tw.gov.mohw.twcore,1.0.0,patient,patient.idNumber,Patient.identifier[1].system,string,false,constant,http://www.moi.gov.tw,,24,true
tw.gov.mohw.twcore,1.0.0,patient,patient.name,Patient.name[0]:usual.text,string,true,copy,,,30,true
tw.gov.mohw.twcore,1.0.0,patient,patient.name,Patient.name[0].use,string,false,constant,official,,31,true
tw.gov.mohw.twcore,1.0.0,patient,patient.gender,Patient.gender,string,true,code_map,administrative-gender,,40,true
tw.gov.mohw.twcore,1.0.0,patient,patient.birthDate,Patient.birthDate,date,true,copy,,,50,true
tw.gov.mohw.twcore,1.0.0,patient,patient.telecomSystem,Patient.telecom[0].system,string,false,code_map,contact-point-system,,60,true
tw.gov.mohw.twcore,1.0.0,patient,patient.telecomUse,Patient.telecom[0].use,string,false,code_map,contact-point-use,,70,true
tw.gov.mohw.twcore,1.0.0,patient,patient.telecomValue,Patient.telecom[0].value,string,false,copy,,,80,true
tw.gov.mohw.twcore,1.0.0,patient,patient.address,Patient.address[0].text,string,false,copy,,,90,true
tw.gov.mohw.twcore,1.0.0,patient,patient.organization,Patient.managingOrganization.reference,string,false,build_reference,,Organization,100,true
tw.gov.mohw.twcore,1.0.0,patient,patient.contactRelationship,Patient.contact[0].relationship[0].coding[0].code,string,false,code_map,patient-contact-relationship,,110,true
tw.gov.mohw.twcore,1.0.0,patient,patient.contactName,Patient.contact[0].name.text,string,false,copy,,,120,true
tw.gov.mohw.twcore,1.0.0,patient,patient.contactTelecomSystem,Patient.contact[0].telecom[0].system,string,false,code_map,contact-point-system,,130,true
tw.gov.mohw.twcore,1.0.0,patient,patient.contactTelecomUse,Patient.contact[0].telecom[0].use,string,false,code_map,contact-point-use,,140,true
tw.gov.mohw.twcore,1.0.0,patient,patient.contactTelecomValue,Patient.contact[0].telecom[0].value,string,false,copy,,,150,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.clinicalStatus,AllergyIntolerance.clinicalStatus.coding[0].code,string,true,code_map,allergyintolerance-clinical,,10,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.verificationStatus,AllergyIntolerance.verificationStatus.coding[0].code,string,false,code_map,allergyintolerance-verification,,20,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.type,AllergyIntolerance.type,string,false,code_map,allergy-intolerance-type,,30,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.category,AllergyIntolerance.category[0],string,false,code_map,allergy-intolerance-category,,40,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.criticality,AllergyIntolerance.criticality,string,false,code_map,allergy-intolerance-criticality,,50,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.allergyCode,AllergyIntolerance.code.coding[0].code,string,true,code_map,allergy-code,,60,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.patientId,AllergyIntolerance.patient.reference,string,true,build_reference,,Patient,70,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.encounterId,AllergyIntolerance.encounter.reference,string,false,build_reference,,Encounter,80,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.onsetDate,AllergyIntolerance.onsetDateTime,dateTime,false,copy,,,90,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.recordedDate,AllergyIntolerance.recordedDate,dateTime,false,copy,,,100,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.recorderId,AllergyIntolerance.recorder.reference,string,false,build_reference,,Practitioner,110,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.asserterId,AllergyIntolerance.asserter.reference,string,false,build_reference,,Patient,120,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.lastOccurrence,AllergyIntolerance.lastOccurrence,dateTime,false,copy,,,130,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.note,AllergyIntolerance.note[0].text,string,false,copy,,,140,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.reactionSubstance,AllergyIntolerance.reaction[0].substance.coding[0].code,string,false,code_map,substance-code,,150,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.manifestation,AllergyIntolerance.reaction[0].manifestation[0].coding[0].code,string,false,code_map,allergy-manifestation,,160,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.reactionDescription,AllergyIntolerance.reaction[0].description,string,false,copy,,,170,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.severity,AllergyIntolerance.reaction[0].severity,string,false,code_map,reaction-event-severity,,180,true
tw.gov.mohw.twcore,1.0.0,allergyintolerance,allergyintolerance.exposureRoute,AllergyIntolerance.reaction[0].exposureRoute.coding[0].code,string,false,code_map,route-codes,,190,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.active,Practitioner.active,boolean,false,copy,,,10,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.medicalLicenseNumber,Practitioner.identifier[0].use,string,true,constant,official,,18,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.medicalLicenseNumber,Practitioner.identifier[0].type.coding[0].system,string,true,constant,http://terminology.hl7.org/CodeSystem/v2-0203,,19,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.medicalLicenseNumber,Practitioner.identifier[0].type.coding[0].code,string,true,constant,MD,,20,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.medicalLicenseSystem,Practitioner.identifier[0].system,string,true,copy,,,30,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.medicalLicenseNumber,Practitioner.identifier[0].value,string,true,copy,,,40,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.name,Practitioner.name[0].text,string,true,copy,,,50,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.name,Practitioner.name[0].use,string,true,constant,official,,51,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.gender,Practitioner.gender,string,false,code_map,administrative-gender,,60,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.birthday,Practitioner.birthDate,date,false,copy,,,70,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.telecomSystem,Practitioner.telecom[0].system,string,false,code_map,contact-point-system,,80,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.telecomUse,Practitioner.telecom[0].use,string,false,code_map,contact-point-use,,90,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.telecomValue,Practitioner.telecom[0].value,string,false,copy,,,100,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.address,Practitioner.address[0].text,string,false,copy,,,110,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.qualificationCode,Practitioner.qualification[0].code.coding[0].code,string,false,code_map,practitioner-qualification-code,,120,true
tw.gov.mohw.twcore,1.0.0,practitioner,practitioner.qualificationIssuer,Practitioner.qualification[0].issuer.reference,string,false,build_reference,,Organization,130,true
tw.gov.mohw.twcore,1.0.0,organization,organization.identifierValue,Organization.identifier[0].type.coding[0].system,string,false,constant,http://terminology.hl7.org/CodeSystem/v2-0203,,1,true
tw.gov.mohw.twcore,1.0.0,organization,organization.identifierValue,Organization.identifier[0].type.coding[0].code,string,false,constant,PRN,,2,true
tw.gov.mohw.twcore,1.0.0,organization,organization.idSystem,Organization.identifier[0].system,string,false,copy,,,3,true
tw.gov.mohw.twcore,1.0.0,organization,organization.identifierValue,Organization.identifier[0].value,string,false,copy,,,4,true
tw.gov.mohw.twcore,1.0.0,organization,organization.active,Organization.active,boolean,false,copy,,,10,true
tw.gov.mohw.twcore,1.0.0,organization,organization.type,Organization.type[0].coding[0].code,string,false,code_map,organization-type,,40,true
tw.gov.mohw.twcore,1.0.0,organization,organization.name,Organization.name,string,true,copy,,,50,true
tw.gov.mohw.twcore,1.0.0,organization,organization.telecomSystem,Organization.telecom[0].system,string,false,code_map,contact-point-system,,70,true
tw.gov.mohw.twcore,1.0.0,organization,organization.telecomUse,Organization.telecom[0].use,string,false,code_map,contact-point-use,,80,true
tw.gov.mohw.twcore,1.0.0,organization,organization.telecomValue,Organization.telecom[0].value,string,false,copy,,,90,true
tw.gov.mohw.twcore,1.0.0,organization,organization.address,Organization.address[0].text,string,false,copy,,,100,true
tw.gov.mohw.twcore,1.0.0,practitionerrole,practitionerrole.identifierValue,PractitionerRole.identifier[0].use,string,false,constant,official,,1,true
